fen,best
3K4/4Q2R/N6p/8/k1n5/8/8/1b6 w - - 1 85,e7b4
rn1q1k1r/pb1p1pbp/2p1p1pn/Q7/8/1P1BPN1P/P1PP1PP1/RNB1K2R w KQ - 4 11,a5d8
r1b1q1nr/2k2p1p/ppP1p2b/2Bp4/4P2p/1Q1P4/P2NB3/3R1KNR w - - 2 31,b3b6
1r2k3/Nn5P/R4Q2/2P1p3/1P2p1rp/5pP1/2P1BPR1/4K3 w - - 3 44,e2b5
r1b1k3/3pr3/4P2K/1ppP4/Ppn3p1/R4R1p/5Q2/1N2N2B w - - 0 44,f3f8
r2B4/2p5/p2N4/k6P/3pN1p1/K1P1P3/4R3/8 w - - 9 74,d8c7
2N5/5Pkr/1P1Q4/p7/P7/3p1R1p/4n2P/1R2K3 w - - 5 68,f7f8q
3N3r/1b2n1b1/Q2p1kp1/1pPn2p1/p4pP1/7P/P6B/R1KB2NR w - - 3 34,a6d6
5br1/r4k2/B3n2B/2p1p3/P2P1N1P/5PPQ/3N1K2/R1n4R w - - 1 42,h3e6
r7/3p2b1/1P5R/1Qrk4/3ppB1P/2p5/2P2K2/8 w - - 0 69,h6d6
2k5/3b4/pR6/PnpP4/1pR1p1p1/5rB1/K7/2R5 w - - 9 103,b6b8
7Q/4kB2/1K6/2P1P1pP/P7/5p2/8/8 w - - 0 98,h8e8
1n5r/2Qp4/p2n2p1/1k1PPp2/8/R3R2P/3K1N2/3N2B1 w - - 2 69,e3b3
1kb5/N3R3/2R5/8/4P3/8/8/7K w - - 1 116,c6c8
qrbk3r/5Qbp/p1p1p3/1pPPB1p1/8/4P1P1/P3NP1P/n2K1B1R w - - 1 24,e5c7
2n5/5kP1/2bB1N2/4p1P1/p1pp4/5N1R/P2P3R/3K4 w - - 13 50,g7g8q
3Q4/6k1/3N4/5Q2/1P4Pp/8/2PPp3/1K4R1 w - - 2 88,d8f8
5R2/3bk3/1pp3n1/2P4P/3p1P2/3np3/Q3PNK1/3R1B2 w - - 1 55,a2f7
1n2k3/6R1/4K1bP/1P6/8/r7/2B4p/2r5 w - - 2 73,g7g8
1R5r/1Q2nkp1/p4pn1/P3P3/3p1NKP/8/3N4/r7 w - - 2 53,e5e6
3Q2bk/2r5/1r6/6R1/P6p/N1r5/8/5BKR w - - 1 62,d8g8
2k5/1b6/5Q2/2PR3p/1P5P/7r/1b2P3/4K3 w - - 1 66,f6d8
2bqk1n1/2pp2pr/np6/p1b1ppNp/N2PP3/1QP1B3/PP3PPP/R3K2R w KQ - 2 11,b3f7
8/3r4/2N2k2/3p1P1P/3P1P2/P1p4R/8/4K1Q1 w - - 2 62,g1g6
r1bqkb1r/1pp1p2p/2n5/p2pNpp1/P3n3/1PP1P2P/3P1PP1/RNBQKB1R w KQkq - 0 8,d1h5
8/8/8/7k/3p1Q2/3B2K1/8/6n1 w - - 10 137,f4h4
r2qkbnR/8/1p2pQP1/1Ppn2P1/p1PpP3/3P4/PB1N4/R3KBN1 w - - 1 35,f6f7
8/7k/4b3/8/6R1/8/R7/1K6 w - - 9 178,a2h2
rn1qkb1r/p2bpn2/3p2p1/2p2pPN/4Q3/P2PP2N/RPP2P1P/2B1KR2 w - - 11 20,h5f6
8/6Qp/3q4/2ppppbk/rP3Pp1/1R4P1/P3bK2/RNn1B3 w - - 2 41,g7g5
8/7B/2n1p3/p1Q1N3/P7/1k6/8/1K6 w - - 9 83,h7c2
2b2R2/1rp4k/6r1/Pp1P1P1p/4P3/b2P4/1BnK4/3R4 w - - 15 51,f8h8
6k1/8/5Q1P/2P1K3/1P6/6n1/8/8 w - - 7 105,f6g7
2r2k2/7Q/2pN1b2/p1Pp3K/1p6/PP2P3/n5P1/5B2 w - - 2 58,h7f7
r1bN3R/3r1Nk1/p1p5/3pP1p1/1p4B1/BP1PP1P1/P3nQ2/b3K3 w - - 3 34,f2f6
2R5/8/7p/p6P/Pk6/1P6/K7/8 w - - 3 109,c8c4
1rb1n1n1/1pQp1r2/q4kpp/2B2p2/5P2/4P2P/P1PP4/3RK1NR w - - 4 38,c7e5
3rkb1Q/3pp3/1p1pBp2/pb3Pp1/PP6/1PN4P/8/2R1K1nR w - - 2 38,h8h5
1Q6/8/B5bn/2kp1rbP/P4p2/R1PP1pp1/1B6/1N1R3K w - - 1 51,b8c7
6k1/3b4/p6Q/PBrpr2P/1P6/6p1/6P1/B2K1R2 w - - 1 60,f1f8
8/1p6/1P1B4/4R3/8/4N2k/8/2N3K1 w - - 1 104,e5h5
rn1qkb1r/pbppp3/7p/1p1nNpp1/P1P5/4P1P1/1P1P1P1P/RNBQKBR1 w Qkq - 0 8,d1h5
2b4Q/5p2/1p1n2k1/4P1pR/p1p5/2P2P2/P1N2KP1/6N1 w - - 0 40,h8h7
7Q/8/1R6/r2k1p2/p3p1p1/B5P1/1K5P/2R5 w - - 2 73,b6d6
rnbqkbnr/p1ppp1p1/7p/1p6/6p1/1PP5/P1QPPP1P/RNB1KBNR w KQkq - 0 5,c2g6
3Qn1k1/2p3pr/b5Pp/b3p3/p4p1P/pP2PPNR/3B2K1/4R3 w - - 2 49,d8e8
2k5/7Q/8/Bp2p3/P7/4K3/8/8 w - - 5 75,h7c7
4rbnr/p2np1k1/4Q3/3P2pp/p4pPq/2N2R2/R2P1P1P/1B2K3 w - - 2 28,e6g6
6k1/rb2P3/2p1r2P/8/ppK3pP/5pBR/PQ6/N2R2N1 w - - 0 53,b2g7
6kr/Q6p/3pR1p1/p1NP4/5PP1/P1Pb1N1K/4B3/B6R w - - 0 47,e6e8
8/4b3/1P3PR1/7p/3P4/1p1K3k/8/6R1 w - - 3 80,g1h1
rnbqkbnr/1pppp2p/p4p2/6p1/2B5/N3P3/PPPP1PPP/R1BQK1NR w KQkq - 0 4,d1h5
6R1/4k3/1pPN4/pP2Pp2/P7/4n2K/8/8 w - - 1 74,g8e8
rn3r2/1p5p/p2p1p1b/1Pp1pNpN/4P1k1/P7/1PKP2P1/R1B2BR1 w - - 2 27,f1e2
1n2k3/1p1brn2/8/3p1rR1/1b5p/7P/4R3/1NK5 w - - 9 63,g5g8
4b3/8/2p3NQ/p2ppk1P/Pp1P3b/1P3KR1/5B2/1R6 w - - 1 67,g6h4
4k3/4N3/4KB2/3P3p/2P1R2r/6R1/5r2/7n w - - 9 96,g3g8
1nb4q/p1pp1Qbr/Pr1k4/1B5p/2PP2pn/4P3/3K1PP1/B3R1NR w - - 3 27,c4c5
5k1q/1r5r/1pQPR1p1/5pP1/7p/3b4/PB3N1P/1N2KB1R w K - 4 38,c6e8
rn1qkbnr/p1ppp2p/bp6/5pp1/3P4/2K1P3/PPP2PPP/RNBQ1BNR w kq - 1 5,d1h5
4Q3/8/8/8/6R1/2n5/5k1K/8 w - - 8 136,g4f4
8/R7/8/P2r3p/k2pp3/PR5P/1Kp3n1/8 w - - 1 90,b3b4
3R4/2R1r2k/6p1/6B1/2nR4/8/N7/5K2 w - - 1 80,c7e7
2b2nN1/8/1p6/p2P1rk1/P3R3/P4P2/7R/3K4 w - - 10 73,e4g4
1R3r2/2k3b1/3r3p/p2P2p1/2p1Ppn1/N7/P2PB2N/1RB2K2 w - - 2 38,b1b7
8/4R3/8/5K1k/8/8/8/8 w - - 15 230,e7h7
3krr2/7p/p1Bp1p1n/1Qp3p1/1PPP1N2/N2P4/P6P/R2KR3 w - - 1 33,b5b8
4k3/R7/1P6/2R5/3p1rP1/3P2P1/8/4b1K1 w - - 3 92,c5c8
7R/2b5/6k1/R7/4N1r1/2n5/5Q2/1n1b1K2 w - - 4 88,f2f6
8/8/2P5/8/4N3/B7/2K4k/5Q2 w - - 15 156,a3d6
7N/8/3r3p/4k2P/Pp1p4/1B1K4/8/5R2 w - - 3 86,h8f7
7R/r3kr2/8/4pp2/2QN1P2/4P3/6K1/1R6 w - - 3 69,c4e6
8/7k/2p2B2/1b6/4p1Q1/r6B/6KP/1N1n4 w - - 1 85,g4g7
1N1R2r1/4kp2/5p2/P1P2P1p/2P1P1bP/p5B1/8/6K1 w - - 2 77,b8c6
k7/2R5/8/P7/8/2P5/3K4/7R w - - 1 135,h1h8
7k/2R5/3BpPpK/2p5/1P1r4/8/P7/7b w - - 5 63,c7c8
r1b3nr/ppk3bp/B1npp3/4P3/2p3p1/4BP2/PPP4P/RN1QK1NR w KQ - 1 15,d1d6
r1bq1knr/1ppQ1pbp/p3p3/3p2p1/2P5/4PN2/PP1P1PPP/RNB1KB1R w KQ - 0 8,d7d8
1rb4R/1p1p2B1/2p1k3/pPP4B/4P2p/N3np2/P2P3K/n7 w - - 1 42,h8e8
rn4nr/pbpq2pk/5Q2/1P5p/1b3B2/1R3N2/5KPP/5BNR w - - 1 30,f3g5
2rk3n/2pp4/2bBp2R/p4p2/P1P2P2/1p1PP3/4R3/1B2N1K1 w - - 1 47,h6h8
3q1bnr/1pn1pb1p/p3k2p/P3PrPP/1PP2Q2/2N4N/5R2/R4K2 w - - 5 34,f4f5
1R1nk3/2Q4r/1B6/3p4/b5Np/b7/5K2/8 w - - 13 49,b8d8
2b5/5NR1/8/8/2p5/2P5/4Q3/3bK2k w - - 14 130,e2g2
2n3k1/1b2Rn1p/4P3/1p5q/Pp1BppPr/2R4B/3N4/6K1 w - - 1 55,e7e8
3Q3n/1b1r4/4k3/1P1p2Pp/5P2/2N5/5P1R/KB6 w - - 1 78,d8f6
rn2B1nk/2b2b2/1p2P2B/2p2pQ1/p1PP4/1P3KPP/8/6qR w - - 6 37,g5g7
3r4/R3b2k/1P5B/p2pp3/b2pP1Q1/8/3N4/4K2n w - - 2 57,g4g7
8/1n4b1/r3R2P/4pk2/3B1p1P/p4Q2/5K2/7B w - - 4 71,f3h3
6r1/1B2q1b1/1P1pp2k/2p1P1nn/2P2p2/1rN2Q2/3P1PPR/1RB2K2 w - - 4 35,f3h5
k1r3N1/2RR4/8/7N/p1nPp3/1P4p1/2K5/8 w - - 3 88,c7c8
R7/6B1/8/1B6/8/7k/6R1/7K w - - 7 132,a8h8
2b3R1/p1bkr1r1/3pp3/1Pp3p1/P3N1PP/8/1R1P4/4K3 w - - 4 51,e4f6
6k1/R7/4R3/8/2p1p2p/2P5/r2Np3/1K6 w - - 1 90,e6e8
r1R2bnr/1b2pkp1/ppQp1p1p/5P2/Pp4P1/7P/1n1PK2R/1NB3N1 w - - 0 21,c6e8
B7/4p3/3p2r1/p1p2nP1/pnP2k1N/P3p1R1/2b1P1K1/8 w - - 0 57,h4g6
2r3nr/p4pbp/nPk3p1/4p3/2NQ4/4qbP1/PP2B2P/1RBK3R w - - 0 21,c4a5
rnbqkbnr/2ppp3/pp3p1p/6p1/5P2/N1P1P2N/PP1P2PP/R1BQKB1R w KQkq - 0 6,d1h5
2k5/2pb1p2/p1Q2b2/2B2P1r/1P6/P7/3p2B1/R2K4 w - - 2 74,c6a8
1r1k1b2/p1q2Br1/1p2Q3/P1p2b2/3PPp2/2N1P1pP/1P3nPR/RNB2K2 w - - 5 26,e6e8
1n5r/1p1b1qbp/r1p1p3/8/knP2pP1/P3PP1P/1R1B1N2/RN3BK1 w - - 2 30,a3b4
2r2b1r/8/b4pQ1/1p1PkpP1/Pp2Pp1P/3K4/1P3PB1/4R2R w - - 1 37,g6f6
2rq1kr1/pb1pb3/1p4P1/3Q2p1/3n3p/P1NP2P1/1P1P3P/R1B1KBR1 w - - 1 25,d5f7
rnb2k1r/2R2p1p/n4PpP/p2p2P1/2NPPN2/P2KB3/8/4qR2 w - - 7 47,c7c8
1R2b3/7r/8/1Nr1p1b1/1pPPk1P1/2Q1P3/6p1/B3KR2 w - - 0 57,b5d6
8/1Q6/5k2/P1B2P2/6B1/1P6/8/5K2 w - - 3 75,b7e7
2Q5/8/1k1p3p/rBp2P2/p2bKn2/P1P4R/q5P1/8 w - - 2 51,c8b8
1k6/6QR/2rbr1B1/pppbpn1P/1R3BP1/P1PK1P2/2P5/8 w - - 2 48,g7b7
2Q5/5p1k/2P3r1/pN2B1n1/PR6/7P/4bb2/1K2R3 w - - 1 58,c8h8
r2q2nr/1bp5/1pkp2Pb/p3pP1p/PP2P3/7R/2P3P1/RQ2KBN1 w Q - 0 20,f1b5
6k1/5rp1/4N1N1/p1B1PPR1/Pp6/1P1PP2Q/7P/1R1K4 w - - 7 45,h3h8
r1b4r/3p2Q1/2nkp3/p1pq3p/pP1PP3/NP5P/R4PPR/1N4K1 w - - 3 37,a3b5
2kr2q1/5br1/R1P3Q1/B3p2p/4P2P/3p1p2/3K4/1R6 w - - 4 70,a6a8
r4kn1/p2bpp1p/2p4b/1p1pB1N1/1nPPP3/N4Q2/P4PqP/R3KB1R w - - 2 23,f3f7
4r2Q/4kp2/4p3/3PQr1n/1PB5/p2P4/P7/b5K1 w - - 0 62,e5c7
1rb3k1/1p1n1r2/p3p1N1/4B3/Pb4p1/1PP5/4P2R/1N4KQ w - - 4 33,h2h8
rnbk1br1/2pp1P1p/1p5n/pP4p1/P3R1q1/2R3P1/2PPP3/1NBQKBN1 w - - 1 21,e4e8
1n2kB1r/5r2/p1P5/p1p3pP/1QP2pP1/N6R/1n2K1B1/R7 w - - 4 48,b4b8
rnb1k2r/p2pqpn1/1ppB4/6pp/PP1PQ2b/2P2PPN/4P2P/RN2KB1R w KQkq - 1 14,e4e7
rnb1rk2/p3p1bp/3p2pQ/1pp1B3/2PP1p2/1P3PnR/PKN1P1P1/R4BN1 w - - 1 19,h6g7
rn4r1/p2P2pk/1p4n1/6p1/P3b3/4p1PP/1b2Q2R/R2N1BK1 w - - 0 39,e2h5
5b2/p3qk2/npbrp1r1/6Q1/1PpPp3/5P1p/P1BPN1R1/R4K1N w - - 0 43,g5g6
r3kr2/2pb2bp/1pP3P1/p4pnR/Pn1Q4/1P2p1N1/RN2P3/1K6 w - - 1 33,d4d7
r1bbkr2/7p/pnPB4/5NpP/2R1p1P1/1p1B2pK/8/5R2 w - - 4 47,f5g7
rnbqkbnr/3pp1p1/2p4p/3P4/1pp3P1/2NBp3/PB3P1P/R2QK1NR w KQkq - 0 10,d3g6
1r6/6r1/7k/p1pp4/P1PpBP1p/1R6/8/4K1NR w - - 6 86,h1h4
2rk4/3Pb2r/5n2/1B1P1p1p/P2N1P1P/7P/1RP1Q2R/5K2 w - - 1 48,d4e6
8/3R4/2K5/k6N/8/8/N7/8 w - - 33 129,d7a7
8/8/2kPB3/4B2P/N7/P7/2K5/1R6 w - - 49 140,b1b6
k7/p7/P7/8/N7/8/2K5/7R w - - 3 110,h1h8
rnbqkbnr/3pp3/pp3ppp/2p4Q/2PP3P/1P2P3/P4PP1/RNB1KBNR w KQkq - 0 7,h5g6
rk6/Np6/p3p1nb/PN3p2/bB3P2/4p3/7K/8 w - - 2 76,b4d6
3r1n1r/pb2R3/4B1pk/8/3P3p/4K1Q1/1p2P2P/1R6 w - - 0 44,g3h4
8/3N2B1/8/K7/8/3R4/7R/5k2 w - - 5 149,d3d1
8/1P6/2p2p2/1b2P1k1/1RPp1Np1/6P1/KP1r2n1/7R w - - 8 61,h1h5
8/7R/8/8/1pN5/1P2K1k1/2B5/4R3 w - - 0 69,e1g1
rnq2bnr/p3pkp1/1p3p2/2p3Qp/bP2pN2/1N1P1P2/P1P3PP/R1B1KB1R w KQ - 0 12,g5g6
b1k5/6R1/5B2/8/3P2K1/8/8/7R w - - 13 139,h1h8
r1k2r2/p2b2p1/qp2p3/1N3p1p/1bPn1Q1P/6P1/PP3KBR/R1B3N1 w - - 1 31,f4c7
1rbqkb1r/ppppp3/4B3/2B2pNp/8/1PNnP3/P1PnKPPP/RQR5 w k - 1 13,e6f7
r1b2knr/p2Q3p/n3P2q/1p3p1P/1P2P3/5P1P/RbP5/1N2KBN1 w - - 1 19,d7f7
1r2kbn1/3npppr/p2P3p/qB6/3P2QP/p7/P1P2PPR/RN1K2N1 w - - 0 14,g4d7
5k2/B7/2p2P2/7N/p6K/1B5P/6R1/2r5 w - - 2 77,g2g8
1k6/4NN2/1PKR4/p6p/P6P/8/1b6/6r1 w - - 8 76,d6d8
1nbqkb1r/1pppp1p1/6r1/p2nN2p/2P1PPQ1/6P1/P2P3P/R1B1KB1R w KQk - 1 13,g4g6
6Q1/2B2B2/2P4k/p2P4/8/1K1p4/3q4/8 w - - 2 97,g8g6
3k4/5pp1/BpP5/4Q1N1/4P1PK/8/3P4/1Nr1R3 w - - 4 52,g5f7
8/8/8/8/8/k1K5/8/7R w - - 25 165,h1a1
rnbqk2r/1p3p1Q/p3p2b/1PP2PN1/3p2P1/3P4/P1PK3P/RNB2B1R w k - 3 22,h7f7
rnb1r3/2pk1n2/4p1p1/pp3P1p/P1B2QP1/b4PB1/2P4P/R2K3R w - - 1 25,f4c7
8/8/2B1k1p1/n5P1/5QK1/8/3q4/4rR2 w - - 2 144,f4f6
rnbqkbnr/p1ppp3/1p5p/5pp1/P4P2/4P3/1PPP1KPP/RNBQ1BNR w kq - 0 5,d1h5
4Q3/1Pk5/5P2/2nB4/4p3/4P2p/K7/8 w - - 7 96,b7b8q
4k3/8/1P1K2P1/2R5/8/4P3/b7/8 w - - 17 126,c5c8
2k5/r1P5/P2R1n2/B4P1p/5n1P/3b2bR/8/3K2N1 w - - 4 80,d6d8
rn1r4/p1qk3p/1ppppn2/5p2/PPB4P/2b1Q3/2bR1PP1/2BNK1NR w K - 2 26,e3e6
7B/4N3/3nR2p/1P1P4/2p5/3k2p1/6p1/2R1K3 w - - 0 62,c1c3
2rnQ3/1n4p1/3br2k/1p2Bp1p/5P1P/pP1KPP2/P7/2R2BR1 w - - 19 46,e8h8
7k/8/3Q4/bK1Bp3/4P3/6p1/2N5/8 w - - 13 137,d6h6
r4k2/2ppnp2/bpn2N2/4pp2/p1PPP3/P5b1/NP2K1PP/1RB2B1R w - - 0 27,c1h6
r3qbnr/1ppbp2p/5p2/p2P1k2/P4Bp1/3P1B1N/6KP/RNQ3R1 w - - 9 23,f3e4
rnbqkb1r/p1ppp1p1/5n2/5p1p/1p1P3P/6Q1/PPP1PPP1/RNB1KBNR w KQkq - 2 6,g3g6
2r4k/3Q4/1p2pPp1/p2p4/P2P2Pp/1P1b1p1R/8/R4N1K w - - 6 75,d7g7
r1b2bnr/2p2ppp/p1nppk2/Pp6/5PQP/1P2P3/2PP1KP1/qNB2BNR w - - 1 11,g4g5
1n3r2/3RP2p/5bk1/1p5R/1p2P1P1/2n3K1/1rP5/5qN1 w - - 1 48,e7f8n
2b5/2p3p1/1r1p3k/2R4p/3bBqpP/5NN1/5P1R/4K3 w - - 8 56,c5h5
2n2k2/R5b1/5p2/Q5PB/7p/1KPb3P/P2N4/5R2 w - - 3 49,a5d8
nRb5/2n4k/5B1p/1p1QprpP/5p2/8/3PpPp1/1N2K3 w - - 6 47,d5f7
3qk3/r1pn1pp1/1N2p1Br/p4Q1N/P3b1P1/4PP1P/1P1P3b/R1BK2R1 w - - 4 26,f5f7
1r2q2r/1b1p2bp/p2kp1pn/1Qp2p2/2PPPP1P/6PR/P3K1B1/RNB3N1 w - - 0 24,b5c5
1Qb1kb2/r3pp2/pK1pNr2/P7/4P3/2nn2Pp/1PN1BP1P/1RB4R w - - 14 25,b8c8
1r1k4/7Q/p2p3b/p3p2p/1R2Pp1P/8/b2N1PP1/1N1K2R1 w - - 0 25,b4b8
3k4/7p/4bNQ1/p1p2pb1/p1P2B2/P2PP3/1R4P1/1K3BR1 w - - 11 44,g6e8
2r2k2/1RR5/b5pp/4N3/5b2/p4P2/K7/4q1N1 w - - 7 74,c7c8
1r1k4/3pp1b1/b1P4n/qN3ppp/3Q1PPP/3PK3/P1P3R1/R4BN1 w - - 7 26,d4d7
5Q2/7k/1pr3n1/1P5P/8/1p1pr1p1/8/B4K1B w - - 3 93,f8g7
1kb3r1/3Q4/1P1Pp3/6qp/2p2P1P/1p5K/7R/2B5 w - - 1 66,d7a7
N2k1r2/p7/2P4p/P1Rn4/5PQ1/r6P/2BKn3/b7 w - - 1 64,g4d7
6k1/8/7B/7P/7P/8/1Q3nK1/8 w - - 20 134,b2g7
4k3/R6n/8/7P/3p3Q/1p6/8/1BK4b w - - 0 88,h4e7
5bn1/6pr/B1b3n1/1pNpp2p/4Pp1k/P1NP1PR1/1BQ5/1R3K2 w - - 1 50,c2h2
r3k3/3b3r/2n5/6b1/1B1pB3/1P1P3P/2p1P1R1/5RK1 w - - 6 56,f1f8
r1b2Q2/3p3k/n3Nn1r/5ppp/P1p1qP1P/2BPb1P1/2P1K3/4RB1R w - - 0 51,f8g7
2k2N2/Q1r1bpr1/2p1b1BB/1pn4P/Ppp5/5pP1/1RK1P3/1N4R1 w - - 2 40,a7a8
2n2r2/pR6/2k1PN1r/P6p/2KpP1PB/8/1PP2NBP/6bR w - - 5 50,e4e5
Q7/2kr4/7R/1p6/3p4/8/8/7K w - - 1 81,h6c6
r2qkbnr/pp1bp1p1/n1p4p/4N3/P3p2P/3p1Q2/1PPP1PP1/RNB1KB1R w KQkq - 0 10,f3f7
Q7/3r4/8/p4kPp/B6P/P3R3/8/2K5 w - - 11 90,a8e4
Q5r1/1rp2p2/pk1p4/3P2p1/P1nPp1pP/Q1N5/b3NB1K/R3R3 w - - 5 39,a3b4
4R3/1N1k4/3P2n1/1rP5/5pp1/3p1p2/1Q3P2/5K2 w - - 13 80,b2b5
2N1k3/2B1P3/4K3/3P4/p7/8/5r1p/7b w - - 4 101,c8d6
3r4/bp3N2/1P2r2p/5NR1/Pp6/1Q1P1P1k/3PP3/2R2K2 w - - 1 42,g5h5
4k1nQ/4rN2/pp2Pp1R/1b1p4/PB2p3/4P1p1/3K4/R7 w - - 1 48,h8g8
rnbqkbnr/p1ppp2p/8/1p3pp1/8/4P1PN/PPPP1P1P/RNBQKB1R w KQkq - 0 4,d1h5
2rqkbnr/p1ppp1p1/1pn4P/5p2/1P3PQ1/P2b3B/2PP3P/RNB1K1NR w KQk - 0 11,g4g6
rn1qk1r1/3pn1b1/b3Nppp/pBp5/1P2N3/1P2PpP1/2PP3P/R1BQK1R1 w Qq - 4 16,e4d6
2b2bkr/3n2pp/r2p4/ppP2N2/2P2p1q/P2P3P/3KP3/R1B1Q1NB w - - 2 20,h1d5
3r2nr/BRbB1p2/p6k/3p1P1p/4P2P/1PQ3P1/2PK4/7R w - - 1 44,c3h8
2N3Qr/3k4/6b1/p2PK2p/P7/8/8/1R6 w - - 1 73,b1b7
8/4R3/8/k1K5/8/8/8/8 w - - 33 151,e7a7
1rbr4/2k5/R5p1/pp1Qp2p/1b5P/3p1KPR/2P5/8 w - - 2 53,d5c6
8/8/1B2PR2/8/2R5/8/2K1k3/8 w - - 23 130,c4e4
3Q3r/BkP4r/7n/1N3p1p/1P2p3/P4pPB/R6P/2B1KR2 w - - 8 42,c7c8q
rn2Rnk1/4Q3/p5pr/3b3p/1P5P/2p2PK1/8/1R6 w - - 5 53,e8f8
k7/8/2R5/1R2PK2/2P5/1n6/3p1nNP/8 w - - 7 88,c6a6
8/7n/2r2k2/8/4Rp2/5R2/7K/6Q1 w - - 5 99,f3f4
4k2N/1r2P1r1/p4P1n/6b1/3R4/7P/np6/4K2B w - - 0 65,d4d8
1n6/2p1N3/pP1k4/2R2B1p/2P2P2/8/1K3Bb1/7r w - - 0 64,e7c8
4kbnr/2pq1p1p/bpQ5/1B1ppr2/p6P/1P1PP3/P1PBK1P1/RN4NR w k - 0 17,c6d7
2bqkb1r/r1pppp1p/p5p1/1p1n2N1/1nP1P2P/1P3Q2/P1NPBPP1/R1B1K2R w KQk - 6 11,f3f7
8/6k1/4B3/4PP2/pR2nQp1/7R/4n1K1/8 w - - 1 98,f4h6
3b4/pr6/1k1p2p1/p1pQ4/2P2p2/P7/1P4KB/1R4R1 w - - 0 46,d5d6
rnb1qkr1/1pp1b1p1/3p3p/4ppN1/2B1PPn1/P5P1/2PP3P/RNB2RK1 w - - 2 13,g5h7
5k2/pr2q1R1/b3B3/1pp3p1/1n2p1P1/B3K3/2PNP3/2R3N1 w - - 2 35,g7g8
2b5/1Q5r/4pkpb/2npnp1p/R2P1P2/P1B1P1P1/1K6/5q2 w - - 3 44,d4e5
3k1br1/3r2Qp/n1P1p2n/p1q2p2/1PPp1P2/1R1P3P/3KP1PR/5BN1 w - - 3 28,g7d7
2rqk1n1/6pr/b2bPQ2/p1ppp2p/1p2P2P/N1PPn3/1R4P1/2B1KB2 w - - 4 41,f6f7
8/4r3/8/1K4Q1/3P3P/5B2/p6k/8 w - - 2 88,g5g2
rn1q4/1p1k2pr/3n4/B1pPQp1p/P2P1P1P/4P2N/1P1N2PR/Rb2KB2 w Q - 1 19,e5e6
2b5/3B1r2/kr6/2PR4/3n1p2/p6K/1QN2N2/8 w - - 2 104,b2b6
5R2/8/k1K5/P7/8/8/8/8 w - - 16 201,f8a8
r2k1bn1/1bpBp2r/5pp1/pPN1P1Np/RPPqQB1P/3P2P1/5P2/4K2R w K - 9 26,g5e6
7Q/r2N4/4n2P/p7/1p3Pr1/kp6/8/4K3 w - - 1 70,h8a1
3r2n1/2R5/n2k4/P3q1p1/2KP3p/2p4b/8/1QR4B w - - 2 66,b1b6
6k1/4R3/2R5/1r6/p3p2p/Pp2P2P/6K1/8 w - - 7 75,c6c8
1nbqk1nr/2pppp2/r6p/1p4N1/1pQ5/2N1P3/P1PP1PPP/b1B1KB1R w Kk - 0 10,c4f7
3R4/1b2k3/3N4/2p1K3/p1P2B2/P7/1N6/8 w - - 33 133,f4g5
b1R5/k5b1/5P2/P7/7K/8/2n3B1/6n1 w - - 3 106,c8a8
